2026-05-18 01:57:50.982 | 2026-05-18 01:57:50 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 9ms
2026-05-18 01:57:54.179 | 2026-05-18 01:57:54 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 25ms
2026-05-18 01:58:22.119 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 01:58:22.122 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 7ms
2026-05-18 01:58:22.137 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 01:58:22.137 | 2026-05-18 01:58:22 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 18ms
2026-05-18 01:58:22.573 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:22.574 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:22.579 | 2026-05-18 01:58:22 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 01:58:22.581 | 2026-05-18 01:58:22 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:24.176 | 2026-05-18 01:58:24 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 15ms
2026-05-18 01:58:27.878 | 2026-05-18 01:58:27 | unknown | 科目管理 | 搜索科目 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 12ms
2026-05-18 01:58:29.545 | 2026-05-18 01:58:29 | unknown | 科目管理 | 查询科目辅助核算 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 20ms
2026-05-18 01:58:31.098 | 2026-05-18 01:58:31 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 16ms
2026-05-18 01:58:33.494 | 2026-05-18 01:58:33 | unknown | 科目管理 | 搜索科目 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 10ms
2026-05-18 01:58:34.644 | 2026-05-18 01:58:34 | unknown | 科目管理 | 搜索科目 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 25ms
2026-05-18 01:58:38.720 | 2026-05-18 01:58:38 | unknown | 科目管理 | 查询科目辅助核算 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 6ms
2026-05-18 01:58:38.738 | 2026-05-18 01:58:38 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: dict_rylb_acct | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:38.739 | 2026-05-18 01:58:38 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: sys_money_resource | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:38.739 | 2026-05-18 01:58:38 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: dict_addpay_acct | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 01:58:38.742 | 2026-05-18 01:58:38 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: PreparedStatementCallback; SQL [SELECT dept_id AS id, dept_code AS code, dept_name AS name FROM sys_dept WHERE 1=1 AND is_stop = '0']; 索引 1 超出范围。 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 01:58:41.302 | 2026-05-18 01:58:41 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 7ms
2026-05-18 01:58:41.316 | 2026-05-18 01:58:41 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 7ms
2026-05-18 02:02:31.874 | 2026-05-18 02:02:31 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:02:31.879 | 2026-05-18 02:02:31 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:02:31.925 | 2026-05-18 02:02:31 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:02:31.926 | 2026-05-18 02:02:31 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:02:33.686 | 2026-05-18 02:02:33 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:02:33.687 | 2026-05-18 02:02:33 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:02:33.919 | 2026-05-18 02:02:33 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:02:33.919 | 2026-05-18 02:02:33 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:03:03.118 | 2026-05-18 02:03:03 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:03:03.127 | 2026-05-18 02:03:03 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:03:04.059 | 2026-05-18 02:03:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 30ms
2026-05-18 02:03:04.100 | 2026-05-18 02:03:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 33ms
2026-05-18 02:03:07.015 | 2026-05-18 02:03:07 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:03:07.957 | 2026-05-18 02:03:07 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 25ms
2026-05-18 02:03:11.015 | 2026-05-18 02:03:11 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:03:11.033 | 2026-05-18 02:03:11 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 20ms
2026-05-18 02:03:14.409 | 2026-05-18 02:03:14 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:03:15.017 | 2026-05-18 02:03:15 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 72ms
2026-05-18 02:03:16.594 | 2026-05-18 02:03:16 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:03:16.966 | 2026-05-18 02:03:16 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 18ms
2026-05-18 02:03:40.123 | 2026-05-18 02:03:40 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:03:40.125 | 2026-05-18 02:03:40 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:03:40.127 | 2026-05-18 02:03:40 | admin | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 6ms
2026-05-18 02:03:40.140 | 2026-05-18 02:03:40 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:03:40.141 | 2026-05-18 02:03:40 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:03:40.142 | 2026-05-18 02:03:40 | admin | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:03:40.315 | 2026-05-18 02:03:40 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:03:40.317 | 2026-05-18 02:03:40 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:03:40.337 | 2026-05-18 02:03:40 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:03:40.339 | 2026-05-18 02:03:40 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:03:40.348 | 2026-05-18 02:03:40 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 36ms
2026-05-18 02:03:40.395 | 2026-05-18 02:03:40 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 38ms
2026-05-18 02:06:16.826 | 2026-05-18 02:06:16 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:16.831 | 2026-05-18 02:06:16 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 7ms
2026-05-18 02:06:16.832 | 2026-05-18 02:06:16 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 6ms
2026-05-18 02:06:16.840 | 2026-05-18 02:06:16 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:16.849 | 2026-05-18 02:06:16 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 19ms
2026-05-18 02:06:16.930 | 2026-05-18 02:06:16 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 100ms
2026-05-18 02:06:17.805 | 2026-05-18 02:06:17 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:17.808 | 2026-05-18 02:06:17 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:17.808 | 2026-05-18 02:06:17 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:17.811 | 2026-05-18 02:06:17 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:17.813 | 2026-05-18 02:06:17 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:17.879 | 2026-05-18 02:06:17 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 70ms
2026-05-18 02:06:18.230 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:18.232 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:18.232 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:06:18.237 | 2026-05-18 02:06:18 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:06:18.237 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:18.326 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 93ms
2026-05-18 02:06:18.624 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:06:18.626 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:06:18.626 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:18.629 | 2026-05-18 02:06:18 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:06:18.630 | 2026-05-18 02:06:18 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:06:18.717 | 2026-05-18 02:06:18 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 91ms
2026-05-18 02:06:20.412 | 2026-05-18 02:06:20 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 38ms
